# Scripts-5.2.0.txt
# Date: 2009-08-22, 04:58:43 GMT [MD]
#
# Unicode Character Database
# Copyright (c) 1991-2009 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see http://www.unicode.org/reports/tr44/

# It is ok to redistribute this file "solely for informational 
# purposes in the creation of products supporting the Unicode Standard".
# We don't nee to add a Boost License to this file: boostinspect:nolicense.

# ================================================

# Property:	Script

#  All code points not explicitly listed for Script
#  have the value Unknown (Zzzz).

# @missing: 0000..10FFFF; Unknown

# ================================================

00BB          ; Common # Pf       RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
00BC..00BE    ; Common # No   [3] VULGAR FRACTION ONE QUARTER..VULGAR FRACTION THREE QUARTERS
00BF          ; Common # Po       INVERTED QUESTION MARK
00D7          ; Common # Sm       MULTIPLICATION SIGN
00F7          ; Common # Sm       DIVISION SIGN
02B9..02C1    ; Common # Lm   [9] MODIFIER LETTER PRIME..MODIFIER LETTER REVERSED GLOTTAL STOP
02C2..02C5    ; Common # Sk   [4] MODIFIER LETTER LEFT ARROWHEAD..MODIFIER LETTER DOWN ARROWHEAD
02C6..02D1    ; Common # Lm  [12] MODIFIER LETTER CIRCUMFLEX ACCENT..MODIFIER LETTER HALF TRIANGULAR COLON
02D2..02DF    ; Common # Sk  [14] MODIFIER LETTER CENTRED RIGHT HALF RING..MODIFIER LETTER CROSS ACCENT
02E5..02EB    ; Common # Sk   [7] MODIFIER LETTER EXTRA-HIGH TONE BAR..MODIFIER LETTER YANG DEPARTING TONE MARK
02EC          ; Common # Lm       MODIFIER LETTER VOICING
02ED          ; Common # Sk       MODIFIER LETTER UNASPIRATED
02EE          ; Common # Lm       MODIFIER LETTER DOUBLE APOSTROPHE
02EF..02FF    ; Common # Sk  [17] MODIFIER LETTER LOW DOWN ARROWHEAD..MODIFIER LETTER LOW LEFT ARROW
0374          ; Common # Lm       GREEK NUMERAL SIGN
037E          ; Common # Po       GREEK QUESTION MARK
0385          ; Common # Sk       GREEK DIALYTIKA TONOS
0387          ; Common # Po       GREEK ANO TELEIA
0589          ; Common # Po       ARMENIAN FULL STOP
0600..0603    ; Common # Cf   [4] ARABIC NUMBER SIGN..ARABIC SIGN SAFHA
060C          ; Common # Po       ARABIC COMMA
061B          ; Common # Po       ARABIC SEMICOLON
061F          ; Common # Po       ARABIC QUESTION MARK
0640          ; Common # Lm       ARABIC TATWEEL
0660..0669    ; Common # Nd  [10] ARABIC-INDIC DIGIT ZERO..ARABIC-INDIC DIGIT NINE
06DD          ; Common # Cf       ARABIC END OF AYAH
0964..0965    ; Common # Po   [2] DEVANAGARI DANDA..DEVANAGARI DOUBLE DANDA
0970          ; Common # Po       DEVANAGARI ABBREVIATION SIGN
0CF1..0CF2    ; Common # So   [2] KANNADA SIGN JIHVAMULIYA..KANNADA SIGN UPADHMANIYA
0E3F          ; Common # Sc       THAI CURRENCY SYMBOL BAHT
0FD5..0FD8    ; Common # So   [4] RIGHT-FACING SVASTI SIGN..LEFT-FACING SVASTI SIGN WITH DOTS
10FB          ; Common # Po       GEORGIAN PARAGRAPH SEPARATOR
16EB..16ED    ; Common # Po   [3] RUNIC SINGLE PUNCTUATION..RUNIC CROSS PUNCTUATION
1735..1736    ; Common # Po   [2] PHILIPPINE SINGLE PUNCTUATION..PHILIPPINE DOUBLE PUNCTUATION
1802..1803    ; Common # Po   [2] MONGOLIAN COMMA..MONGOLIAN FULL STOP
1805          ; Common # Po       MONGOLIAN FOUR DOTS
1CD3          ; Common # Po       VEDIC SIGN NIHSHVASA
1CE1          ; Common # Mc       VEDIC TONE ATHARVAVEDIC INDEPENDENT SVARITA
1CE9..1CEC    ; Common # Lo   [4] VEDIC SIGN ANUSVARA ANTARGOMUKHA..VEDIC SIGN ANUSVARA VAMAGOMUKHA WITH TAIL
1CEE..1CF1    ; Common # Lo   [4] VEDIC SIGN HEXIFORM LONG ANUSVARA..VEDIC SIGN ANUSVARA UBHAYATO MUKHA
1CF2          ; Common # Mc       VEDIC SIGN ARDHAVISARGA
2000..200A    ; Common # Zs  [11] EN QUAD..HAIR SPACE
200B          ; Common # Cf       ZERO WIDTH SPACE
200E..200F    ; Common # Cf   [2] LEFT-TO-RIGHT MARK..RIGHT-TO-LEFT MARK
2010..2015    ; Common # Pd   [6] HYPHEN..HORIZONTAL BAR
2016..2017    ; Common # Po   [2] DOUBLE VERTICAL LINE..DOUBLE LOW LINE
2018          ; Common # Pi       LEFT SINGLE QUOTATION MARK
2019          ; Common # Pf       RIGHT SINGLE QUOTATION MARK
201A          ; Common # Ps       SINGLE LOW-9 QUOTATION MARK
201B..201C    ; Common # Pi   [2] SINGLE HIGH-REVERSED-9 QUOTATION MARK..LEFT DOUBLE QUOTATION MARK
201D          ; Common # Pf       RIGHT DOUBLE QUOTATION MARK
201E          ; Common # Ps       DOUBLE LOW-9 QUOTATION MARK
201F          ; Common # Pi       DOUBLE HIGH-REVERSED-9 QUOTATION MARK
2020..2027    ; Common # Po   [8] DAGGER..HYPHENATION POINT
2028          ; Common # Zl       LINE SEPARATOR
2029          ; Common # Zp       PARAGRAPH SEPARATOR
202A..202E    ; Common # Cf   [5] LEFT-TO-RIGHT EMBEDDING..RIGHT-TO-LEFT OVERRIDE
202F          ; Common # Zs       NARROW NO-BREAK SPACE
2030..2038    ; Common # Po   [9] PER MILLE SIGN..CARET
2039          ; Common # Pi       SINGLE LEFT-POINTING ANGLE QUOTATION MARK
203A          ; Common # Pf       SINGLE RIGHT-POINTING ANGLE QUOTATION MARK
203B..203E    ; Common # Po   [4] REFERENCE MARK..OVERLINE
203F..2040    ; Common # Pc   [2] UNDERTIE..CHARACTER TIE
2041..2043    ; Common # Po   [3] CARET INSERTION POINT..HYPHEN BULLET
2044          ; Common # Sm       FRACTION SLASH
2045          ; Common # Ps       LEFT SQUARE BRACKET WITH QUILL
2046          ; Common # Pe       RIGHT SQUARE BRACKET WITH QUILL
2047..2051    ; Common # Po  [11] DOUBLE QUESTION MARK..TWO ASTERISKS ALIGNED VERTICALLY
2052          ; Common # Sm       COMMERCIAL MINUS SIGN
2053          ; Common # Po       SWUNG DASH
2054          ; Common # Pc       INVERTED UNDERTIE
2055..205E    ; Common # Po  [10] FLOWER PUNCTUATION MARK..VERTICAL FOUR DOTS
205F          ; Common # Zs       MEDIUM MATHEMATICAL SPACE
2060..2064    ; Common # Cf   [5] WORD JOINER..INVISIBLE PLUS
206A..206F    ; Common # Cf   [6] INHIBIT SYMMETRIC SWAPPING..NOMINAL DIGIT SHAPES
2070          ; Common # No       SUPERSCRIPT ZERO
2074..2079    ; Common # No   [6] SUPERSCRIPT FOUR..SUPERSCRIPT NINE
207A..207C    ; Common # Sm   [3] SUPERSCRIPT PLUS SIGN..SUPERSCRIPT EQUALS SIGN
207D          ; Common # Ps       SUPERSCRIPT LEFT PARENTHESIS
207E          ; Common # Pe       SUPERSCRIPT RIGHT PARENTHESIS
2080..2089    ; Common # No  [10] SUBSCRIPT ZERO..SUBSCRIPT NINE
208A..208C    ; Common # Sm   [3] SUBSCRIPT PLUS SIGN..SUBSCRIPT EQUALS SIGN
208D          ; Common # Ps       SUBSCRIPT LEFT PARENTHESIS
208E          ; Common # Pe       SUBSCRIPT RIGHT PARENTHESIS
20A0..20B8    ; Common # Sc  [25] EURO-CURRENCY SIGN..TENGE SIGN
2100..2101    ; Common # So   [2] ACCOUNT OF..ADDRESSED TO THE SUBJECT
2102          ; Common # L&       DOUBLE-STRUCK CAPITAL C
2103..2106    ; Common # So   [4] DEGREE CELSIUS..CADA UNA
2107          ; Common # L&       EULER CONSTANT
2108..2109    ; Common # So   [2] SCRUPLE..DEGREE FAHRENHEIT
210A..2113    ; Common # L&  [10] SCRIPT SMALL G..SCRIPT SMALL L
2114          ; Common # So       L B BAR SYMBOL
2115          ; Common # L&       DOUBLE-STRUCK CAPITAL N
2116..2118    ; Common # So   [3] NUMERO SIGN..SCRIPT CAPITAL P
2119..211D    ; Common # L&   [5] DOUBLE-STRUCK CAPITAL P..DOUBLE-STRUCK CAPITAL R
211E..2123    ; Common # So   [6] PRESCRIPTION TAKE..VERSICLE
2124          ; Common # L&       DOUBLE-STRUCK CAPITAL Z
2125          ; Common # So       OUNCE SIGN
2127          ; Common # So       INVERTED OHM SIGN
2128          ; Common # L&       BLACK-LETTER CAPITAL Z
2129          ; Common # So       TURNED GREEK SMALL LETTER IOTA
212C..212D    ; Common # L&   [2] SCRIPT CAPITAL B..BLACK-LETTER CAPITAL C
212E          ; Common # So       ESTIMATED SYMBOL
212F..2131    ; Common # L&   [3] SCRIPT SMALL E..SCRIPT CAPITAL F
2133..2134    ; Common # L&   [2] SCRIPT CAPITAL M..SCRIPT SMALL O
2135..2138    ; Common # Lo   [4] ALEF SYMBOL..DALET SYMBOL
2139          ; Common # L&       INFORMATION SOURCE
213A..213B    ; Common # So   [2] ROTATED CAPITAL Q..FACSIMILE SIGN
213C..213F    ; Common # L&   [4] DOUBLE-STRUCK SMALL PI..DOUBLE-STRUCK CAPITAL PI
2140..2144    ; Common # Sm   [5] DOUBLE-STRUCK N-ARY SUMMATION..TURNED SANS-SERIF CAPITAL Y
2145..2149    ; Common # L&   [5] DOUBLE-STRUCK ITALIC CAPITAL D..DOUBLE-STRUCK ITALIC SMALL J
214A          ; Common # So       PROPERTY LINE
214B          ; Common # Sm       TURNED AMPERSAND
214C..214D    ; Common # So   [2] PER SIGN..AKTIESELSKAB
214F          ; Common # So       SYMBOL FOR SAMARITAN SOURCE
2150..215F    ; Common # No  [16] VULGAR FRACTION ONE SEVENTH..FRACTION NUMERATOR ONE
2189          ; Common # No       VULGAR FRACTION ZERO THIRDS
2190..2194    ; Common # Sm   [5] LEFTWARDS ARROW..LEFT RIGHT ARROW
2195..2199    ; Common # So   [5] UP DOWN ARROW..SOUTH WEST ARROW
219A..219B    ; Common # Sm   [2] LEFTWARDS ARROW WITH STROKE..RIGHTWARDS ARROW WITH STROKE
219C..219F    ; Common # So   [4] LEFTWARDS WAVE ARROW..UPWARDS TWO HEADED ARROW
21A0          ; Common # Sm       RIGHTWARDS TWO HEADED ARROW
21A1..21A2    ; Common # So   [2] DOWNWARDS TWO HEADED ARROW..LEFTWARDS ARROW WITH TAIL
21A3          ; Common # Sm       RIGHTWARDS ARROW WITH TAIL
21A4..21A5    ; Common # So   [2] LEFTWARDS ARROW FROM BAR..UPWARDS ARROW FROM BAR
21A6          ; Common # Sm       RIGHTWARDS ARROW FROM BAR
21A7..21AD    ; Common # So   [7] DOWNWARDS ARROW FROM BAR..LEFT RIGHT WAVE ARROW
21AE          ; Common # Sm       LEFT RIGHT ARROW WITH STROKE
21AF..21CD    ; Common # So  [31] DOWNWARDS ZIGZAG ARROW..LEFTWARDS DOUBLE ARROW WITH STROKE
21CE..21CF    ; Common # Sm   [2] LEFT RIGHT DOUBLE ARROW WITH STROKE..RIGHTWARDS DOUBLE ARROW WITH STROKE
21D0..21D1    ; Common # So   [2] LEFTWARDS DOUBLE ARROW..UPWARDS DOUBLE ARROW
21D2          ; Common # Sm       RIGHTWARDS DOUBLE ARROW
21D3          ; Common # So       DOWNWARDS DOUBLE ARROW
21D4          ; Common # Sm       LEFT RIGHT DOUBLE ARROW
21D5..21F3    ; Common # So  [31] UP DOWN DOUBLE ARROW..UP DOWN WHITE ARROW
21F4..22FF    ; Common # Sm [268] RIGHT ARROW WITH SMALL CIRCLE..Z NOTATION BAG MEMBERSHIP
2300..2307    ; Common # So   [8] DIAMETER SIGN..WAVY LINE
2308..230B    ; Common # Sm   [4] LEFT CEILING..RIGHT FLOOR
230C..231F    ; Common # So  [20] BOTTOM RIGHT CROP..BOTTOM RIGHT CORNER
2320..2321    ; Common # Sm   [2] TOP HALF INTEGRAL..BOTTOM HALF INTEGRAL
2322..2328    ; Common # So   [7] FROWN..KEYBOARD
2329          ; Common # Ps       LEFT-POINTING ANGLE BRACKET
232A          ; Common # Pe       RIGHT-POINTING ANGLE BRACKET
232B..237B    ; Common # So  [81] ERASE TO THE LEFT..NOT CHECK MARK
237C          ; Common # Sm       RIGHT ANGLE WITH DOWNWARDS ZIGZAG ARROW
237D..239A    ; Common # So  [30] SHOULDERED OPEN BOX..CLEAR SCREEN SYMBOL
239B..23B3    ; Common # Sm  [25] LEFT PARENTHESIS UPPER HOOK..SUMMATION BOTTOM
23B4..23DB    ; Common # So  [40] TOP SQUARE BRACKET..FUSE
23DC..23E1    ; Common # Sm   [6] TOP PARENTHESIS..BOTTOM TORTOISE SHELL BRACKET
23E2..23E8    ; Common # So   [7] WHITE TRAPEZIUM..DECIMAL EXPONENT SYMBOL
2400..2426    ; Common # So  [39] SYMBOL FOR NULL..SYMBOL FOR SUBSTITUTE FORM TWO
2440..244A    ; Common # So  [11] OCR HOOK..OCR DOUBLE BACKSLASH
2460..249B    ; Common # No  [60] CIRCLED DIGIT ONE..NUMBER TWENTY FULL STOP
249C..24E9    ; Common # So  [78] PARENTHESIZED LATIN SMALL LETTER A..CIRCLED LATIN SMALL LETTER Z
24EA..24FF    ; Common # No  [22] CIRCLED DIGIT ZERO..NEGATIVE CIRCLED DIGIT ZERO
2500..25B6    ; Common # So [183] BOX DRAWINGS LIGHT HORIZONTAL..BLACK RIGHT-POINTING TRIANGLE
25B7          ; Common # Sm       WHITE RIGHT-POINTING TRIANGLE
25B8..25C0    ; Common # So   [9] BLACK RIGHT-POINTING SMALL TRIANGLE..BLACK LEFT-POINTING TRIANGLE
25C1          ; Common # Sm       WHITE LEFT-POINTING TRIANGLE
25C2..25F7    ; Common # So  [54] BLACK LEFT-POINTING SMALL TRIANGLE..WHITE CIRCLE WITH UPPER RIGHT QUADRANT
25F8..25FF    ; Common # Sm   [8] UPPER LEFT TRIANGLE..LOWER RIGHT TRIANGLE
2600..266E    ; Common # So [111] BLACK SUN WITH RAYS..MUSIC NATURAL SIGN
266F          ; Common # Sm       MUSIC SHARP SIGN
2670..26CD    ; Common # So  [94] WEST SYRIAC CROSS..DISABLED CAR
26CF..26E1    ; Common # So  [19] PICK..RESTRICTED LEFT ENTRY-2
26E3          ; Common # So       HEAVY CIRCLE WITH STROKE AND TWO DOTS ABOVE
26E8..26FF    ; Common # So  [24] BLACK CROSS ON SHIELD..WHITE FLAG WITH HORIZONTAL MIDDLE BLACK STRIPE
2701..2704    ; Common # So   [4] UPPER BLADE SCISSORS..WHITE SCISSORS
2706..2709    ; Common # So   [4] TELEPHONE LOCATION SIGN..ENVELOPE
270C..2727    ; Common # So  [28] VICTORY HAND..WHITE FOUR POINTED STAR
2729..274B    ; Common # So  [35] STRESS OUTLINED WHITE STAR..HEAVY EIGHT TEARDROP-SPOKED PROPELLER ASTERISK
274D          ; Common # So       SHADOWED WHITE CIRCLE
274F..2752    ; Common # So   [4] LOWER RIGHT DROP-SHADOWED WHITE SQUARE..UPPER RIGHT SHADOWED WHITE SQUARE
2756..275E    ; Common # So   [9] BLACK DIAMOND MINUS WHITE X..HEAVY DOUBLE COMMA QUOTATION MARK ORNAMENT
2761..2767    ; Common # So   [7] CURVED STEM PARAGRAPH SIGN ORNAMENT..ROTATED FLORAL HEART BULLET
2768          ; Common # Ps       MEDIUM LEFT PARENTHESIS ORNAMENT
2769          ; Common # Pe       MEDIUM RIGHT PARENTHESIS ORNAMENT
276A          ; Common # Ps       MEDIUM FLATTENED LEFT PARENTHESIS ORNAMENT
276B          ; Common # Pe       MEDIUM FLATTENED RIGHT PARENTHESIS ORNAMENT
276C          ; Common # Ps       MEDIUM LEFT-POINTING ANGLE BRACKET ORNAMENT
276D          ; Common # Pe       MEDIUM RIGHT-POINTING ANGLE BRACKET ORNAMENT
276E          ; Common # Ps       HEAVY LEFT-POINTING ANGLE QUOTATION MARK ORNAMENT
276F          ; Common # Pe       HEAVY RIGHT-POINTING ANGLE QUOTATION MARK ORNAMENT
2770          ; Common # Ps       HEAVY LEFT-POINTING ANGLE BRACKET ORNAMENT
2771          ; Common # Pe       HEAVY RIGHT-POINTING ANGLE BRACKET ORNAMENT
2772          ; Common # Ps       LIGHT LEFT TORTOISE SHELL BRACKET ORNAMENT
2773          ; Common # Pe       LIGHT RIGHT TORTOISE SHELL BRACKET ORNAMENT
2774          ; Common # Ps       MEDIUM LEFT CURLY BRACKET ORNAMENT
2775          ; Common # Pe       MEDIUM RIGHT CURLY BRACKET ORNAMENT
2776..2793    ; Common # No  [30] DINGBAT NEGATIVE CIRCLED DIGIT ONE..DINGBAT NEGATIVE CIRCLED SANS-SERIF NUMBER TEN
2794          ; Common # So       HEAVY WIDE-HEADED RIGHTWARDS ARROW
2798..27AF    ; Common # So  [24] HEAVY SOUTH EAST ARROW..NOTCHED LOWER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
27B1..27BE    ; Common # So  [14] NOTCHED UPPER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW..OPEN-OUTLINED RIGHTWARDS ARROW
27C0..27C4    ; Common # Sm   [5] THREE DIMENSIONAL ANGLE..OPEN SUPERSET
27C5          ; Common # Ps       LEFT S-SHAPED BAG DELIMITER
27C6          ; Common # Pe       RIGHT S-SHAPED BAG DELIMITER
27C7..27CA    ; Common # Sm   [4] OR WITH DOT INSIDE..VERTICAL BAR WITH HORIZONTAL STROKE
27CC          ; Common # Sm       LONG DIVISION
27D0..27E5    ; Common # Sm  [22] WHITE DIAMOND WITH CENTRED DOT..WHITE SQUARE WITH RIGHTWARDS TICK
27E6          ; Common # Ps       MATHEMATICAL LEFT WHITE SQUARE BRACKET
27E7          ; Common # Pe       MATHEMATICAL RIGHT WHITE SQUARE BRACKET
27E8          ; Common # Ps       MATHEMATICAL LEFT ANGLE BRACKET
27E9          ; Common # Pe       MATHEMATICAL RIGHT ANGLE BRACKET
27EA          ; Common # Ps       MATHEMATICAL LEFT DOUBLE ANGLE BRACKET
27EB          ; Common # Pe       MATHEMATICAL RIGHT DOUBLE ANGLE BRACKET
27EC          ; Common # Ps       MATHEMATICAL LEFT WHITE TORTOISE SHELL BRACKET
27ED          ; Common # Pe       MATHEMATICAL RIGHT WHITE TORTOISE SHELL BRACKET
27EE          ; Common # Ps       MATHEMATICAL LEFT FLATTENED PARENTHESIS
27EF          ; Common # Pe       MATHEMATICAL RIGHT FLATTENED PARENTHESIS
27F0..27FF    ; Common # Sm  [16] UPWARDS QUADRUPLE ARROW..LONG RIGHTWARDS SQUIGGLE ARROW
2900..2982    ; Common # Sm [131] RIGHTWARDS TWO-HEADED ARROW WITH VERTICAL STROKE..Z NOTATION TYPE COLON
2983          ; Common # Ps       LEFT WHITE CURLY BRACKET
2984          ; Common # Pe       RIGHT WHITE CURLY BRACKET
2985          ; Common # Ps       LEFT WHITE PARENTHESIS
2986          ; Common # Pe       RIGHT WHITE PARENTHESIS
2987          ; Common # Ps       Z NOTATION LEFT IMAGE BRACKET
2988          ; Common # Pe       Z NOTATION RIGHT IMAGE BRACKET
2989          ; Common # Ps       Z NOTATION LEFT BINDING BRACKET
298A          ; Common # Pe       Z NOTATION RIGHT BINDING BRACKET
298B          ; Common # Ps       LEFT SQUARE BRACKET WITH UNDERBAR
298C          ; Common # Pe       RIGHT SQUARE BRACKET WITH UNDERBAR
298D          ; Common # Ps       LEFT SQUARE BRACKET WITH TICK IN TOP CORNER
298E          ; Common # Pe       RIGHT SQUARE BRACKET WITH TICK IN BOTTOM CORNER
298F          ; Common # Ps       LEFT SQUARE BRACKET WITH TICK IN BOTTOM CORNER
2990          ; Common # Pe       RIGHT SQUARE BRACKET WITH TICK IN TOP CORNER
2991          ; Common # Ps       LEFT ANGLE BRACKET WITH DOT
2992          ; Common # Pe       RIGHT ANGLE BRACKET WITH DOT
2993          ; Common # Ps       LEFT ARC LESS-THAN BRACKET
2994          ; Common # Pe       RIGHT ARC GREATER-THAN BRACKET
2995          ; Common # Ps       DOUBLE LEFT ARC GREATER-THAN BRACKET
2996          ; Common # Pe       DOUBLE RIGHT ARC LESS-THAN BRACKET
2997          ; Common # Ps       LEFT BLACK TORTOISE SHELL BRACKET
2998          ; Common # Pe       RIGHT BLACK TORTOISE SHELL BRACKET
2999..29D7    ; Common # Sm  [63] DOTTED FENCE..BLACK HOURGLASS
29D8          ; Common # Ps       LEFT WIGGLY FENCE
29D9          ; Common # Pe       RIGHT WIGGLY FENCE
29DA          ; Common # Ps       LEFT DOUBLE WIGGLY FENCE
29DB          ; Common # Pe       RIGHT DOUBLE WIGGLY FENCE
29DC..29FB    ; Common # Sm  [32] INCOMPLETE INFINITY..TRIPLE PLUS
29FC          ; Common # Ps       LEFT-POINTING CURVED ANGLE BRACKET
29FD          ; Common # Pe       RIGHT-POINTING CURVED ANGLE BRACKET
29FE..2AFF    ; Common # Sm [258] TINY..N-ARY WHITE VERTICAL BAR
2B00..2B2F    ; Common # So  [48] NORTH EAST WHITE ARROW..WHITE VERTICAL ELLIPSE
2B30..2B44    ; Common # Sm  [21] LEFT ARROW WITH SMALL CIRCLE..RIGHTWARDS ARROW THROUGH SUPERSET
2B45..2B46    ; Common # So   [2] LEFTWARDS QUADRUPLE ARROW..RIGHTWARDS QUADRUPLE ARROW
2B47..2B4C    ; Common # Sm   [6] REVERSE TILDE OPERATOR ABOVE RIGHTWARDS ARROW..RIGHTWARDS ARROW ABOVE REVERSE TILDE OPERATOR
2B50..2B59    ; Common # So  [10] WHITE MEDIUM STAR..HEAVY CIRCLED SALTIRE
2E00..2E01    ; Common # Po   [2] RIGHT ANGLE SUBSTITUTION MARKER..RIGHT ANGLE DOTTED SUBSTITUTION MARKER
2E02          ; Common # Pi       LEFT SUBSTITUTION BRACKET
2E03          ; Common # Pf       RIGHT SUBSTITUTION BRACKET
2E04          ; Common # Pi       LEFT DOTTED SUBSTITUTION BRACKET
2E05          ; Common # Pf       RIGHT DOTTED SUBSTITUTION BRACKET
2E06..2E08    ; Common # Po   [3] RAISED INTERPOLATION MARKER..DOTTED TRANSPOSITION MARKER
2E09          ; Common # Pi       LEFT TRANSPOSITION BRACKET
2E0A          ; Common # Pf       RIGHT TRANSPOSITION BRACKET
2E0B          ; Common # Po       RAISED SQUARE
2E0C          ; Common # Pi       LEFT RAISED OMISSION BRACKET
2E0D          ; Common # Pf       RIGHT RAISED OMISSION BRACKET
2E0E..2E16    ; Common # Po   [9] EDITORIAL CORONIS..DOTTED RIGHT-POINTING ANGLE
2E17          ; Common # Pd       DOUBLE OBLIQUE HYPHEN
2E18..2E19    ; Common # Po   [2] INVERTED INTERROBANG..PALM BRANCH
2E1A          ; Common # Pd       HYPHEN WITH DIAERESIS
2E1B          ; Common # Po       TILDE WITH RING ABOVE
2E1C          ; Common # Pi       LEFT LOW PARAPHRASE BRACKET
2E1D          ; Common # Pf       RIGHT LOW PARAPHRASE BRACKET
2E1E..2E1F    ; Common # Po   [2] TILDE WITH DOT ABOVE..TILDE WITH DOT BELOW
2E20          ; Common # Pi       LEFT VERTICAL BAR WITH QUILL
2E21          ; Common # Pf       RIGHT VERTICAL BAR WITH QUILL
2E22          ; Common # Ps       TOP LEFT HALF BRACKET
2E23          ; Common # Pe       TOP RIGHT HALF BRACKET
2E24          ; Common # Ps       BOTTOM LEFT HALF BRACKET
2E25          ; Common # Pe       BOTTOM RIGHT HALF BRACKET
2E26          ; Common # Ps       LEFT SIDEWAYS U BRACKET
2E27          ; Common # Pe       RIGHT SIDEWAYS U BRACKET
2E28          ; Common # Ps       LEFT DOUBLE PARENTHESIS
2E29          ; Common # Pe       RIGHT DOUBLE PARENTHESIS
2E2A..2E2E    ; Common # Po   [5] TWO DOTS OVER ONE DOT PUNCTUATION..REVERSED QUESTION MARK
2E2F          ; Common # Lm       VERTICAL TILDE
2E30..2E31    ; Common # Po   [2] RING POINT..WORD SEPARATOR MIDDLE DOT
2FF0..2FFB    ; Common # So  [12] IDEOGRAPHIC DESCRIPTION CHARACTER LEFT TO RIGHT..IDEOGRAPHIC DESCRIPTION CHARACTER OVERLAID
3000          ; Common # Zs       IDEOGRAPHIC SPACE
3001..3003    ; Common # Po   [3] IDEOGRAPHIC COMMA..DITTO MARK
3004          ; Common # So       JAPANESE INDUSTRIAL STANDARD SYMBOL
3006          ; Common # Lo       IDEOGRAPHIC CLOSING MARK
3008          ; Common # Ps       LEFT ANGLE BRACKET
3009          ; Common # Pe       RIGHT ANGLE BRACKET
300A          ; Common # Ps       LEFT DOUBLE ANGLE BRACKET
300B          ; Common # Pe       RIGHT DOUBLE ANGLE BRACKET
300C          ; Common # Ps       LEFT CORNER BRACKET
300D          ; Common # Pe       RIGHT CORNER BRACKET
300E          ; Common # Ps       LEFT WHITE CORNER BRACKET
300F          ; Common # Pe       RIGHT WHITE CORNER BRACKET
